Total Score,Max Points,Status,Submission Time,Lateness (H:M:S),1.1: Q1_a (3.0 pts),1.2: Q1_b (3.0 pts),2.1: Q2 (81 to b2) (2.0 pts),2.2: Q2 (81 to b16) (2.0 pts),2.3: Q2 (1010111 to b10) (2.0 pts),2.4: Q2 (1010111 to b16) (2.0 pts),2.5: Q2 (2F to b10) (2.0 pts),2.6: Q2 (2F to b2) (2.0 pts),3.1: Q3_1 (2.0 pts),3.2: Q3_2 (2.0 pts),3.3: Q3_3 (2.0 pts),3.4: Q3_4 (2.0 pts),3.5: Q3_5 (2.0 pts),3.6: Q3_6 (2.0 pts),4: Q4 (15.0 pts),5: Q5 (25.0 pts),6: Q6 (30.0 pts)
76,100,Graded,3/7/2023 17:05,00:00:00,0,0,2,2,2,2,2,2,2,0,0,2,2,2,12,25,19
94,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,15,25,24
93,100,Graded,3/7/2023 17:05,00:00:00,3,0,2,2,2,2,2,2,2,2,2,2,2,2,15,25,26
100,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,15,25,30
95,100,Graded,3/7/2023 17:05,00:00:00,3,0,2,2,2,2,2,2,2,2,2,2,2,2,15,25,28
85,100,Graded,3/7/2023 17:05,00:00:00,3,0,2,2,0,2,2,2,2,2,2,2,2,2,10,25,25
73,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,13,24,6
89,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,13,25,21
76,100,Graded,3/7/2023 17:05,00:00:00,3,0,2,2,2,2,2,2,2,0,0,2,2,2,10,25,18
43,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,0,0,0,0,0,2,0,2,0,2,2,4,23,0
91,100,Graded,3/7/2023 17:05,00:00:00,3,0,2,2,2,2,2,2,2,2,2,2,2,2,15,25,24
91,100,Graded,3/7/2023 17:05,00:00:00,3,0,2,2,2,2,2,2,0,0,2,2,2,2,15,25,28
97,100,Graded,3/7/2023 17:05,00:00:00,3,0,2,2,2,2,2,2,2,2,2,2,2,2,15,25,30
87,100,Graded,3/7/2023 17:05,00:00:00,3,0,2,2,2,2,2,2,2,0,2,2,2,2,13,25,24
97,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,13,24,30
99,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,2,2,2,2,1,2,2,2,2,15,25,30
86,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,10,24,22
85,100,Graded,3/7/2023 17:05,00:00:00,3,3,0,0,2,2,2,2,2,2,2,2,2,2,13,24,22
69,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,2,2,2,2,2,0,2,2,2,5,25,11
79,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,8,25,16
92,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,0,2,2,2,2,2,2,2,2,15,25,24
76,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,0,2,2,2,2,2,2,2,2,2,5,24,19
63,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,2,2,2,2,0,2,2,2,2,10,20,5
64,100,Graded,3/7/2023 17:05,00:00:00,3,0,2,2,2,2,0,2,2,0,2,2,0,0,5,19,21
96,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,0,2,0,2,2,2,2,2,2,2,2,15,25,30
80,100,Graded,3/7/2023 17:05,00:00:00,3,0,2,2,2,2,2,2,2,2,2,2,2,2,2,25,26
92,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,7,25,30
64,100,Graded,3/7/2023 17:05,00:00:00,3,0,2,2,2,2,2,2,2,0,2,2,2,2,15,15,9
58,100,Graded,3/7/2023 17:05,00:00:00,0,0,2,2,2,2,2,2,2,0,0,2,2,2,2,25,11
100,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,15,25,30
89,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,0,2,2,2,2,2,2,2,2,13,25,23
98,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,15,25,28
39,100,Graded,3/7/2023 17:05,00:00:00,3,3,0,2,0,0,2,0,2,0,0,0,2,2,0,23,0
97,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,15,25,27
94,100,Graded,3/7/2023 17:05,00:00:00,3,0,2,2,2,2,2,2,2,2,2,2,2,2,15,25,27
37,100,Graded,3/7/2023 17:05,00:00:00,3,3,0,2,0,0,2,0,2,0,2,0,2,2,0,15,4
87,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,0,2,2,2,2,2,2,2,2,2,13,25,21
87,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,0,0,2,2,2,2,2,0,2,2,13,25,25
77,100,Graded,3/7/2023 17:05,00:00:00,3,0,2,2,2,2,2,2,2,2,2,0,2,0,12,25,17
92,100,Graded,3/7/2023 17:05,00:00:00,3,0,2,2,2,2,2,2,2,2,2,2,2,2,15,25,25
71,100,Graded,3/7/2023 17:05,00:00:00,3,0,2,2,2,2,2,2,2,0,2,2,2,2,4,25,17
86,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,2,2,2,0,0,2,0,2,2,13,25,24
86,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,9,25,22
90,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,0,0,2,2,2,2,2,2,2,2,15,25,24
73,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,24,17
96,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,2,2,2,2,2,2,0,2,2,13,25,30
96,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,2,2,2,2,2,0,0,2,2,15,25,30
96,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,13,25,28
90,100,Graded,3/7/2023 17:05,00:00:00,3,0,2,2,2,2,0,2,2,2,2,2,2,2,13,25,27
92,100,Graded,3/7/2023 17:05,00:00:00,3,3,0,2,2,2,2,2,2,2,2,2,2,2,15,25,24
79,100,Graded,3/7/2023 17:05,00:00:00,3,0,2,2,2,2,0,0,2,2,2,2,2,2,15,22,19
83,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,0,2,2,2,0,0,0,2,2,13,24,24
64,100,Graded,3/7/2023 17:05,00:00:00,3,0,2,2,2,2,2,2,2,2,2,2,2,2,5,24,8
80,100,Graded,3/7/2023 17:05,00:00:00,3,0,2,2,2,2,2,2,2,2,2,0,2,2,10,25,20
92,100,Graded,3/7/2023 17:05,00:00:00,3,0,2,2,2,2,2,2,2,2,2,2,2,2,13,25,27
76,100,Graded,3/7/2023 17:05,00:00:00,3,0,2,2,2,0,2,2,2,2,2,2,2,2,4,25,22
82,100,Graded,3/7/2023 17:05,00:00:00,3,0,2,2,2,2,2,2,2,2,2,0,2,2,12,25,20
90,100,Graded,3/7/2023 17:05,00:00:00,3,0,2,2,2,2,2,2,2,2,2,2,2,2,15,25,23
89,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,10,25,24
85,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,10,24,21
84,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,2,2,2,2,2,0,0,2,2,15,22,21
94,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,15,24,25
92,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,15,25,22
80,100,Graded,3/7/2023 17:05,00:00:00,3,0,2,2,2,0,2,2,2,2,2,2,2,2,15,23,17
92,100,Graded,3/7/2023 17:05,00:00:00,3,0,2,2,2,2,2,2,0,2,2,2,2,2,15,25,27
78,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,2,2,2,2,0,2,2,2,2,12,25,13
87,100,Graded,3/7/2023 17:05,00:00:00,3,0,2,2,2,2,0,2,2,2,2,0,2,2,15,25,24
80,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,0,2,2,2,0,2,2,2,2,2,15,23,16
93,100,Graded,3/7/2023 17:05,00:00:00,3,0,2,2,2,2,2,2,2,2,2,2,2,2,13,25,28
70,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,2,2,2,0,0,2,0,2,2,10,25,11
83,100,Graded,3/7/2023 17:05,00:00:00,3,0,2,2,2,2,2,2,2,0,0,2,2,2,10,25,25
92,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,13,25,24
81,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,2,2,2,2,0,2,2,2,2,10,25,18
94,100,Graded,3/7/2023 17:05,00:00:00,3,0,2,2,2,2,2,2,2,2,2,2,2,2,12,25,30
93,100,Graded,3/7/2023 17:05,00:00:00,3,0,2,2,2,2,2,2,2,2,2,2,2,2,13,25,28
73,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,2,2,2,2,0,2,0,2,2,13,24,10
84,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,13,25,16
64,100,Graded,3/7/2023 17:05,00:00:00,3,3,2,2,0,2,2,2,2,2,0,0,2,2,10,22,8
75,100,Graded,3/7/2023 17:05,00:00:00,3,0,2,2,2,2,2,2,2,2,2,0,2,2,13,24,13
58,100,Graded,3/7/2023 17:06,00:00:00,3,0,2,2,2,2,2,2,2,0,2,0,2,2,4,24,7
98,100,Graded,3/7/2023 17:06,00:00:00,3,3,2,2,2,2,2,2,2,2,0,2,2,2,15,25,30
87,100,Graded,3/7/2023 17:06,00:00:00,3,0,2,2,2,2,2,2,2,2,2,2,2,2,12,25,23
54,100,Ungraded,3/7/2023 17:06,00:00:00,3,0,2,2,2,2,2,2,2,2,2,2,2,2,8,0,19
76,100,Graded,3/7/2023 17:06,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,13,25,8
83,100,Graded,3/7/2023 17:06,00:00:00,3,0,2,2,2,2,2,2,2,2,2,2,2,2,15,25,16
74,100,Graded,3/7/2023 17:06,00:00:00,0,3,2,2,2,2,2,2,2,0,2,2,2,2,13,23,13
91,100,Graded,3/7/2023 17:06,00:00:00,3,3,2,2,2,2,2,2,2,0,2,2,2,2,10,25,28
78,100,Graded,3/7/2023 17:06,00:00:00,0,0,2,2,2,2,2,2,2,0,2,2,2,2,8,24,24
99,100,Graded,3/7/2023 17:06,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,14,25,30
89,100,Graded,3/7/2023 17:06,00:00:00,3,0,2,2,2,2,2,2,2,2,2,2,2,2,13,25,24
71,100,Graded,3/7/2023 17:06,00:00:00,3,0,2,2,2,2,2,2,2,0,2,2,2,2,7,25,14
94,100,Graded,3/7/2023 17:06,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,15,25,24
98,100,Graded,3/7/2023 17:06,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,13,25,30
69,100,Graded,3/7/2023 17:06,00:00:00,3,0,2,2,0,2,0,2,2,0,2,2,2,2,5,25,18
91,100,Graded,3/7/2023 17:06,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,15,24,22
97,100,Graded,3/7/2023 17:06,00:00:00,3,0,2,2,2,2,2,2,2,2,2,2,2,2,15,25,30
87,100,Graded,3/7/2023 17:06,00:00:00,3,0,2,2,2,2,2,2,2,0,2,2,2,2,13,25,24
3,100,Graded,3/7/2023 17:06,00:00:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,100,Graded,3/7/2023 17:06,00:00:00,3,0,2,2,2,2,2,2,2,2,2,2,2,2,15,25,13
100,100,Graded,3/7/2023 17:06,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,15,25,30
50,100,Graded,3/7/2023 17:06,00:00:00,3,0,2,0,2,0,0,0,2,0,2,2,2,2,6,24,3
92,100,Graded,3/7/2023 17:06,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,13,25,24
55,100,Graded,3/7/2023 17:06,00:00:00,3,3,2,2,2,2,2,2,2,0,2,0,2,2,4,25,0
100,100,Graded,3/7/2023 17:06,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,15,25,30
95,100,Graded,3/7/2023 17:06,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,15,25,25
81,100,Graded,3/7/2023 17:06,00:00:00,3,3,2,2,0,2,2,2,2,2,2,2,2,2,13,25,15
90,100,Graded,3/7/2023 17:06,00:00:00,3,0,2,2,2,2,2,2,0,2,2,2,2,2,13,25,27
92,100,Graded,3/7/2023 17:06,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,13,25,24
98,100,Graded,3/7/2023 17:06,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,13,25,30
86,100,Graded,3/7/2023 17:06,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,13,25,18
80,100,Graded,3/7/2023 17:06,00:00:00,3,0,2,2,2,2,2,2,2,2,2,2,2,2,12,25,16
90,100,Graded,3/7/2023 17:06,00:00:00,3,0,2,2,2,2,2,2,2,0,0,2,2,2,15,25,27
81,100,Graded,3/7/2023 17:06,00:00:00,3,0,2,2,2,2,2,2,2,0,2,2,2,2,13,24,19
84,100,Graded,3/7/2023 17:06,00:00:00,3,0,2,2,2,2,2,2,2,2,2,0,2,2,10,24,25
76,100,Graded,3/7/2023 17:06,00:00:00,3,3,0,0,0,0,2,2,2,2,2,2,2,2,13,22,19
45,100,Graded,3/7/2023 17:06,00:00:00,3,3,2,0,2,2,2,2,0,0,2,0,0,2,0,25,0
64,100,Graded,3/7/2023 17:06,00:00:00,3,3,2,2,2,2,2,0,2,2,2,2,2,2,13,21,2
86,100,Graded,3/7/2023 17:06,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,10,24,22
87,100,Graded,3/7/2023 17:06,00:00:00,3,0,2,2,2,2,2,2,2,2,2,2,2,2,13,25,22
90,100,Graded,3/7/2023 17:07,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,13,25,22
96,100,Graded,3/7/2023 17:07,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,13,25,28
86,100,Graded,3/7/2023 17:07,00:00:00,0,0,2,2,2,2,2,2,2,0,2,2,2,0,13,25,28
63,100,Graded,3/7/2023 17:07,00:00:00,3,0,2,2,2,2,2,2,0,0,2,0,2,2,2,24,16
89,100,Graded,3/7/2023 17:07,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,15,25,19
84,100,Graded,3/7/2023 17:07,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,15,25,14
93,100,Graded,3/7/2023 17:07,00:00:00,3,0,2,2,0,2,2,2,2,2,2,2,2,2,13,25,30
94,100,Graded,3/7/2023 17:07,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,10,24,30
73,100,Graded,3/7/2023 17:07,00:00:00,3,3,2,2,2,2,2,2,2,2,2,0,2,2,6,22,17
90,100,Graded,3/7/2023 17:07,00:00:00,3,3,0,0,2,2,2,2,2,2,2,2,2,2,12,25,27
76,100,Graded,3/7/2023 17:07,00:00:00,3,0,0,0,0,0,2,2,2,0,2,2,2,2,13,25,21
66,100,Graded,3/7/2023 17:07,00:00:00,3,3,2,0,2,0,2,2,2,2,2,2,2,2,10,19,11
100,100,Graded,3/7/2023 17:07,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,15,25,30
88,100,Graded,3/7/2023 17:07,00:00:00,3,3,2,2,0,0,2,2,2,2,2,2,2,2,13,24,25
72,100,Graded,3/7/2023 17:07,00:00:00,3,3,2,2,0,2,2,2,2,2,2,0,2,2,7,25,14
70,100,Graded,3/7/2023 17:07,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,11,19,10
93,100,Graded,3/7/2023 17:07,00:00:00,3,0,2,2,2,2,2,2,2,0,2,2,2,2,15,25,28
56,100,Graded,3/7/2023 17:07,00:00:00,3,3,2,2,2,2,2,2,0,0,2,2,2,2,1,25,4
79,100,Graded,3/7/2023 17:07,00:00:00,3,3,2,2,2,2,2,2,0,2,2,2,2,2,12,25,14
84,100,Graded,3/7/2023 17:07,00:00:00,3,3,2,2,2,2,2,2,2,0,2,2,2,2,12,25,19
90,100,Graded,3/7/2023 17:08,00:00:00,3,3,2,2,2,2,2,2,0,2,2,2,2,2,10,25,27
88,100,Graded,3/7/2023 17:08,00:00:00,3,3,2,2,2,2,2,2,2,0,2,2,2,2,13,25,22
90,100,Graded,3/7/2023 17:08,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,13,25,22
85,100,Graded,3/7/2023 17:08,00:00:00,3,3,2,2,2,2,2,2,2,2,2,0,2,2,10,25,22
95,100,Graded,3/7/2023 17:08,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,15,25,25
100,100,Graded,3/7/2023 17:08,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,15,25,30
51,100,Graded,3/7/2023 17:08,00:00:00,3,0,0,0,2,0,0,0,2,0,2,0,2,2,9,23,6
95,100,Graded,3/7/2023 17:08,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,13,25,27
86,100,Graded,3/7/2023 17:08,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,10,25,21
84,100,Graded,3/7/2023 17:08,00:00:00,3,3,2,2,2,2,2,2,2,0,2,2,2,2,7,25,24
100,100,Graded,3/7/2023 17:08,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,15,25,30
56,100,Graded,3/7/2023 17:08,00:00:00,3,3,0,0,2,2,2,2,0,0,2,0,2,2,2,25,9
93,100,Graded,3/7/2023 17:08,00:00:00,3,3,2,2,2,2,2,2,2,2,2,0,2,2,13,25,27
51,100,Graded,3/7/2023 17:08,00:00:00,3,0,0,0,2,2,2,2,2,0,0,2,2,2,7,25,0
83,100,Graded,3/7/2023 17:08,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,10,25,18
97,100,Graded,3/7/2023 17:08,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,15,25,27
98,100,Graded,3/7/2023 17:08,00:00:00,3,3,2,2,2,2,2,2,2,2,2,0,2,2,15,25,30
86,100,Graded,3/7/2023 17:08,00:00:00,3,3,2,2,2,2,2,2,2,2,2,0,2,2,6,25,27
97,100,Graded,3/7/2023 17:08,00:00:00,3,0,2,2,2,2,2,2,2,2,2,2,2,2,15,25,30
87,100,Graded,3/7/2023 17:08,00:00:00,3,0,2,2,2,2,2,2,2,2,2,2,2,2,13,25,22
86,100,Graded,3/7/2023 17:08,00:00:00,3,0,2,2,2,2,2,2,2,2,2,2,2,2,10,25,24
85,100,Graded,3/7/2023 17:08,00:00:00,3,3,2,2,2,2,0,0,2,2,2,2,2,2,10,25,24
91,100,Graded,3/7/2023 17:08,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,12,25,24
81,100,Graded,3/7/2023 17:08,00:00:00,0,0,0,0,2,2,2,2,0,0,2,2,2,2,13,25,27
95,100,Graded,3/7/2023 17:08,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,13,25,27
86,100,Graded,3/7/2023 17:08,00:00:00,3,0,2,2,2,2,2,2,2,2,2,2,2,2,10,25,24
88,100,Graded,3/7/2023 17:08,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,8,25,25
83,100,Graded,3/7/2023 17:08,00:00:00,3,0,2,2,2,2,2,2,2,2,2,0,2,2,12,25,21
85,100,Graded,3/7/2023 17:08,00:00:00,3,3,2,2,2,2,2,2,2,0,2,2,2,2,12,24,21
90,100,Graded,3/7/2023 17:08,00:00:00,3,3,2,2,2,2,2,2,2,2,2,0,2,2,15,25,22
87,100,Graded,3/7/2023 17:08,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,10,25,22
94,100,Graded,3/7/2023 17:08,00:00:00,3,3,2,2,2,2,2,2,2,2,2,0,2,2,15,24,27
97,100,Graded,3/7/2023 17:08,00:00:00,3,3,2,2,2,2,0,2,2,2,2,2,2,2,15,24,30
92,100,Graded,3/7/2023 17:08,00:00:00,3,0,2,2,2,2,2,2,2,2,2,2,2,2,13,24,28
63,100,Graded,3/7/2023 17:08,00:00:00,3,3,2,2,2,0,0,0,2,2,2,0,0,2,10,25,8
87,100,Graded,3/7/2023 17:09,00:00:00,3,0,2,2,2,2,2,2,2,2,2,2,2,2,13,25,22
87,100,Graded,3/7/2023 17:09,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,10,25,22
71,100,Graded,3/7/2023 17:09,00:00:00,3,0,2,2,2,2,2,2,2,2,0,0,2,2,10,24,14
75,100,Graded,3/7/2023 17:09,00:00:00,3,0,2,2,2,2,2,2,2,2,2,2,2,2,10,25,13
88,100,Graded,3/7/2023 17:09,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,13,22,23
80,100,Graded,3/7/2023 17:09,00:00:00,3,0,2,2,2,2,2,2,2,2,2,2,2,2,10,25,18
87,100,Graded,3/7/2023 17:09,00:00:00,0,0,2,2,2,2,2,2,2,2,2,2,2,2,13,25,25
90,100,Graded,3/7/2023 17:09,00:00:00,3,0,2,2,2,2,2,2,2,2,2,2,2,2,8,25,30
94,100,Graded,3/7/2023 17:09,00:00:00,3,0,0,2,2,2,2,2,2,2,2,2,2,2,14,25,30
95,100,Graded,3/7/2023 17:09,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,15,25,25
63,100,Graded,3/7/2023 17:09,00:00:00,3,0,2,2,2,2,2,2,2,2,2,2,2,2,12,24,0
97,100,Graded,3/7/2023 17:09,00:00:00,3,3,2,2,2,2,2,2,0,2,2,2,2,2,15,24,30
87,100,Graded,3/7/2023 17:09,00:00:00,3,0,2,2,0,0,2,2,2,2,2,2,2,2,15,25,24
87,100,Graded,3/7/2023 17:09,00:00:00,3,0,2,2,2,2,2,2,2,2,2,2,2,2,13,25,22
68,100,Graded,3/7/2023 17:09,00:00:00,3,3,2,2,2,2,2,2,0,0,2,2,2,2,7,24,11
81,100,Graded,3/7/2023 17:09,00:00:00,3,3,2,2,0,0,2,2,2,0,2,2,2,2,13,25,19
53,100,Graded,3/7/2023 17:09,00:00:00,3,0,2,2,0,0,2,2,2,2,2,2,2,2,5,22,3
87,100,Graded,3/7/2023 17:09,00:00:00,3,3,2,2,2,2,2,2,0,0,2,2,2,2,15,25,21
89,100,Graded,3/7/2023 17:09,00:00:00,3,0,2,2,2,2,2,2,2,2,2,2,2,2,15,25,22
44,100,Graded,3/7/2023 17:09,00:00:00,3,0,2,2,2,2,2,2,2,2,2,0,2,2,4,15,0
83,100,Graded,3/7/2023 17:09,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,12,23,18
73,100,Graded,3/7/2023 17:09,00:00:00,3,3,0,0,0,0,0,0,2,2,2,0,2,2,13,24,20
81,100,Graded,3/7/2023 17:09,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,13,25,13
71,100,Graded,3/7/2023 17:09,00:00:00,3,0,2,2,2,2,2,2,2,0,2,2,2,2,12,25,9
81,100,Graded,3/7/2023 17:09,00:00:00,3,3,2,2,2,2,2,2,0,2,2,0,2,2,13,25,17
86,100,Graded,3/7/2023 17:09,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,12,25,19
84,100,Graded,3/7/2023 17:09,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,15,24,15
64,100,Graded,3/7/2023 17:09,00:00:00,3,0,2,2,0,0,2,2,2,0,0,2,2,2,7,24,14
94,100,Graded,3/7/2023 17:09,00:00:00,3,0,2,2,2,2,2,2,2,2,2,2,2,2,15,25,27
86,100,Graded,3/7/2023 17:09,00:00:00,0,0,2,2,2,2,2,2,2,2,2,2,2,2,15,25,22
74,100,Graded,3/7/2023 17:09,00:00:00,3,3,2,2,2,2,2,2,0,0,2,2,2,2,9,22,17
79,100,Graded,3/7/2023 17:09,00:00:00,3,0,2,2,2,2,2,2,2,2,2,2,2,2,13,21,18
46,100,Graded,3/7/2023 17:09,00:00:00,3,3,0,0,2,0,2,2,2,0,2,2,2,2,0,21,3
70,100,Graded,3/7/2023 17:09,00:00:00,3,0,2,2,2,2,2,2,0,0,2,0,2,0,9,24,18
5,100,Graded,3/7/2023 17:09,00:00:00,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
50,100,Graded,3/7/2023 17:09,00:00:00,3,0,2,2,2,2,2,2,2,2,2,2,2,2,3,16,4
95,100,Graded,3/7/2023 17:09,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,15,25,25
73,100,Graded,3/7/2023 17:09,00:00:00,3,3,2,2,2,2,2,2,2,0,2,2,2,2,6,25,14
97,100,Graded,3/7/2023 17:09,00:00:00,3,0,2,2,2,2,2,2,2,2,2,2,2,2,15,25,30
95,100,Graded,3/7/2023 17:09,00:00:00,3,0,2,2,2,2,2,2,2,2,2,2,2,2,13,25,30
75,100,Graded,3/7/2023 19:15,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,2,5,25,15
47,100,Graded,3/7/2023 19:15,00:00:00,3,0,2,2,2,2,2,2,2,2,0,2,0,0,1,19,6
85,100,Graded,3/7/2023 19:15,00:00:00,3,3,2,2,2,2,2,2,2,2,0,0,2,2,7,25,27
80,100,Graded,3/7/2023 19:15,00:00:00,3,3,2,2,2,2,2,2,2,2,2,2,2,0,0,25,27
38,100,Graded,3/7/2023 19:15,00:00:00,3,0,0,2,2,2,0,0,0,0,0,2,2,2,5,18,0
68,100,Graded,3/8/2023 09:49,00:00:00,3,0,2,0,2,0,0,0,2,2,0,0,0,2,10,25,20
93,100,Graded,3/8/2023 09:49,00:00:00,3,3,2,2,2,2,2,2,2,2,0,2,2,2,12,23,30
,100,Missing,,,,,,,,,,,,,,,,,,,
,100,Missing,,,,,,,,,,,,,,,,,,,
,100,Missing,,,,,,,,,,,,,,,,,,,
,100,Missing,,,,,,,,,,,,,,,,,,,
,100,Missing,,,,,,,,,,,,,,,,,,,